Name,Affiliation,Country,Position,VenueId
First General Chair Full Name,Affiliation,Country,General Chairs
Second General Chair Full Name,Affiliation,Country,General Chairs
First Chair Full Name,Affiliation,Country,Assistants to General Chairs
Second Chair Full Name,Affiliation,Country,Assistants to General Chairs
First Technical Program Chair Full Name,Affiliation,Country,Technical Program Chairs
Second Technical Program Chair Full Name,Affiliation,Country,Technical Program Chairs
First Paper Chair Full Name,Affiliation,Country,Papers Chairs,paper
Second Paper Chair Full Name,Affiliation,Country,Papers Chairs,paper
First Chair Full Name,Affiliation,Country,Assistants to Papers Chairs
First Chair Full Name,Affiliation,Country,Assistants to Papers Chairs
First Chair Full Name,Affiliation,Country,Late-Breaking Work Chairs,lbw
Second Chair Full Name,Affiliation,Country,Late-Breaking Work Chairs,lbw
First Chair Full Name,Affiliation,Country,Demonstration Chairs,demo
Second Chair Full Name,Affiliation,Country,Demonstration Chairs,demo
First Chair Full Name,Affiliation,Country,Student Research Competition Chairs
Second Chair Full Name,Affiliation,Country,Student Research Competition Chairs
First Chair Full Name,Affiliation,Country,Doctoral Consortium Chairs,dc
Second Chair Full Name,Affiliation,Country,Doctoral Consortium Chairs,dc
First Chair Full Name,Affiliation,Country,Workshop Chairs,ws
Second Chair Full Name,Affiliation,Country,Workshop Chairs,ws
First Chair Full Name,Affiliation,Country,Proceedings Chairs
Second Chair Full Name,Affiliation,Country,Proceedings Chairs
First Chair Full Name,Affiliation,Country,Web Chairs
Second Chair Full Name,Affiliation,Country,Web Chairs
First Chair Full Name,Affiliation,Country,Accessibility Chairs
Second Chair Full Name,Affiliation,Country,Accessibility Chairs
First Chair Full Name,Affiliation,Country,Student Volunteer Chairs
Second Chair Full Name,Affiliation,Country,Student Volunteer Chairs
First Chair Full Name,Affiliation,Country,Local Chairs
Second Chair Full Name,Affiliation,Country,Local Chairs
