Order,ACMNo,ID,TOC_ID,Title,SessionName,DOI
2,1,pn1111,PAPER001,This Is the Title of the 1st Paper,Name of the First Paper Session,https://doi.org/10.1145/1111111.1111112
3,2,pn2222,PAPER002,This Is the Title of the 2nd Paper,Name of the First Paper Session,https://doi.org/10.1145/1111111.1111113
4,3,pn3333,PAPER003,This Is the Title of the 3rd Paper,Name of the First Paper Session,https://doi.org/10.1145/1111111.1111114
5,4,pn4444,PAPER004,This Is the Title of the 4th Paper,Name of the First Paper Session,https://doi.org/10.1145/1111111.1111115
6,4,pn5555,PAPER005,This Is the Title of the 5h Paper,Name of the Second Paper Session,https://doi.org/10.1145/1111111.1111116
7,5,pn6666,PAPER006,This Is the Title of the 6th Paper,Name of the Second Paper Session,https://doi.org/10.1145/1111111.1111117
8,6,pn7777,PAPER007,This Is the Title of the 7th Paper,Name of the Second Paper Session,https://doi.org/10.1145/1111111.1111118
9,7,pn8888,PAPER008,This Is the Title of the 8th Paper,Name of the Second Paper Session,https://doi.org/10.1145/1111111.1111119
10,8,lbw1111,LBW001,This Is the Title of the 1st Paper,Late-Breaking Work,https://doi.org/10.1145/1111111.1111120
11,9,lbw2222,LBW002,This Is the Title of the 2nd Paper,Late-Breaking Work,https://doi.org/10.1145/1111111.1111121
12,10,lbw3333,LBW003,This Is the Title of the 3rd Paper,Late-Breaking Work,https://doi.org/10.1145/1111111.1111122
13,11,lbw4444,LBW004,This Is the Title of the 4th Paper,Late-Breaking Work,https://doi.org/10.1145/1111111.1111123
14,12,demo1111,DEMO001,This Is the Title of the 1st Paper,Demonstration,https://doi.org/10.1145/1111111.1111124
15,13,demo2222,DEMO002,This Is the Title of the 3rd Paper,Demonstration,https://doi.org/10.1145/1111111.1111125
16,14,demo3333,DEMO003,This Is the Title of the 3rd Paper,Demonstration,https://doi.org/10.1145/1111111.1111126
17,15,demo4444,DEMO004,This Is the Title of the 4th Paper,Demonstration,https://doi.org/10.1145/1111111.1111127
18,16,dc1111,DC001,This Is the Title of the 1st Paper,Doctoral Consortium,https://doi.org/10.1145/1111111.1111128
19,17,dc2222,DC002,This Is the Title of the 2nd Paper,Doctoral Consortium,https://doi.org/10.1145/1111111.1111129
20,18,dc3333,DC003,This Is the Title of the 3rd Paper,Doctoral Consortium,https://doi.org/10.1145/1111111.1111130
21,19,dc4444,DC004,This Is the Title of the 4th Paper,Doctoral Consortium,https://doi.org/10.1145/1111111.1111131
22,20,ws1111,WS001,This Is the Title of the 1st Paper,Workshop,https://doi.org/10.1145/1111111.1111132
23,21,ws2222,WS002,This Is the Title of the 2nd Paper,Workshop,https://doi.org/10.1145/1111111.1111133
24,22,ws3333,WS003,This Is the Title of the 3rd Paper,Workshop,https://doi.org/10.1145/1111111.1111134
25,23,ws4444,WS004,This Is the Title of the 4th Paper,Workshop,https://doi.org/10.1145/1111111.1111135
